ID,DATE,COD_ACCOUNT,ACCOUNT,Short_CLASS,CLASS,TRANSACTION_TYPE,NAME,MEMO/DESCRIPTION,REVENUE/EXPENSES,AMOUNT
200,10/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,October SaaS Subscription,REVENUE,"42,000 "
201,10/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,October SaaS Subscription,REVENUE,"23,500 "
202,10/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,October SaaS Subscription,REVENUE,"16,000 "
203,10/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,October SaaS Subscription,REVENUE,"28,500 "
204,10/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"68,000 "
205,10/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"85,000 "
206,10/1/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - October,EXPENSES,"31,200 "
207,10/1/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"6,500 "
208,10/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"18,500 "
209,10/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,"10,200 "
210,10/1/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,"2,100 "
211,10/1/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,"1,600 "
212,10/1/2022,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,"4,700 "
213,10/1/2022,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,"15,500 "
214,10/1/2022,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,"2,800 "
215,10/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"2,700 "
216,10/5/2022,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,"59,500 "
217,10/5/2022,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,650 "
218,10/10/2022,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,"8,800 "
219,10/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,October SaaS Subscription,REVENUE,"19,000 "
220,10/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"49,500 "
221,10/15/2022,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,"5,200 "
222,10/15/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,"7,800 "
223,10/15/2022,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"47,000 "
224,10/15/2022,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,"88,500 "
225,10/15/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"68,000 "
226,10/15/2022,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,"57,500 "
227,10/15/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,"3,760 "
228,10/15/2022,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,"7,080 "
229,10/15/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,"5,440 "
230,10/15/2022,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,"4,600 "
231,10/15/2022,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,"9,300 "
232,10/15/2022,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,"17,500 "
233,10/15/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,"13,400 "
234,10/15/2022,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,"11,300 "
235,10/15/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880 
236,10/31/2022,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,"31,500 "
237,10/31/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,"1,600 "
238,10/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"8,800 "
239,10/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,"2,600 "
240,11/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,November SaaS Subscription,REVENUE,"50,500 "
241,11/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,November SaaS Subscription,REVENUE,"43,000 "
242,11/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,November SaaS Subscription,REVENUE,"24,000 "
243,11/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,November SaaS Subscription,REVENUE,"16,500 "
244,11/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,November SaaS Subscription,REVENUE,"29,000 "
245,11/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"72,000 "
246,11/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"88,000 "
247,11/1/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - November,EXPENSES,"32,500 "
248,11/1/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"6,800 "
249,11/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"22,000 "
250,11/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,"11,500 "
251,11/1/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,"2,100 "
252,11/1/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,"1,600 "
253,11/1/2022,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,"4,700 "
254,11/1/2022,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,"15,500 "
255,11/1/2022,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,"2,900 "
256,11/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"2,850 "
257,11/5/2022,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,"61,600 "
258,11/5/2022,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,650 "
259,11/10/2022,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,"8,800 "
260,11/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,November SaaS Subscription,REVENUE,"19,500 "
261,11/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"52,000 "
262,11/15/2022,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,"5,200 "
263,11/15/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,"7,800 "
264,11/15/2022,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"47,000 "
265,11/15/2022,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,"88,500 "
266,11/15/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"68,000 "
267,11/15/2022,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,"57,500 "
268,11/15/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,"3,760 "
269,11/15/2022,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,"7,080 "
270,11/15/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,"5,440 "
271,11/15/2022,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,"4,600 "
272,11/15/2022,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,"9,300 "
273,11/15/2022,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,"17,500 "
274,11/15/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,"13,400 "
275,11/15/2022,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,"11,300 "
276,11/15/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880 
277,11/30/2022,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,"33,500 "
278,11/30/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,"1,600 "
279,11/30/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"8,800 "
280,11/30/2022,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,"2,600 "
281,12/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,December SaaS Subscription,REVENUE,"51,500 "
282,12/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,December SaaS Subscription,REVENUE,"44,000 "
283,12/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,December SaaS Subscription,REVENUE,"24,500 "
284,12/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,December SaaS Subscription,REVENUE,"17,000 "
285,12/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,December SaaS Subscription,REVENUE,"29,500 "
286,12/1/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"75,000 "
287,12/1/2022,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"92,000 "
288,12/1/2022,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - December,EXPENSES,"33,800 "
289,12/1/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"7,100 "
290,12/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"25,000 "
291,12/1/2022,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,"12,800 "
292,12/1/2022,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,"2,100 "
293,12/1/2022,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,"1,600 "
294,12/1/2022,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,"4,700 "
295,12/1/2022,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,"15,500 "
296,12/1/2022,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,"3,000 "
297,12/5/2022,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"3,100 "
298,12/5/2022,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,"64,400 "
299,12/5/2022,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,650 "
300,12/10/2022,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,"8,800 "
301,12/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,December SaaS Subscription,REVENUE,"20,000 "
302,12/15/2022,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"55,000 "
303,12/15/2022,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,"5,200 "
304,12/15/2022,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,"7,800 "
305,12/15/2022,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"47,000 "
306,12/15/2022,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,"88,500 "
307,12/15/2022,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"68,000 "
308,12/15/2022,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,"57,500 "
309,12/15/2022,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,"3,760 "
310,12/15/2022,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,"7,080 "
311,12/15/2022,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,"5,440 "
312,12/15/2022,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,"4,600 "
313,12/15/2022,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,"9,300 "
314,12/15/2022,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,"17,500 "
315,12/15/2022,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,"13,400 "
316,12/15/2022,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,"11,300 "
317,12/15/2022,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,880 
318,12/31/2022,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,"35,800 "
319,12/31/2022,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,"1,650 "
320,12/31/2022,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"8,800 "
321,12/31/2022,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,"2,600 "
322,1/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,January SaaS Subscription,REVENUE,"50,800 "
323,1/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,January SaaS Subscription,REVENUE,"43,500 "
324,1/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,January SaaS Subscription,REVENUE,"24,200 "
325,1/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,January SaaS Subscription,REVENUE,"16,800 "
326,1/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,January SaaS Subscription,REVENUE,"29,200 "
327,1/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"73,000 "
328,1/1/2023,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"89,000 "
329,1/1/2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - January,EXPENSES,"34,500 "
330,1/1/2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"6,900 "
331,1/1/2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"18,000 "
332,1/1/2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,"9,800 "
333,1/1/2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,"2,200 "
334,1/1/2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,"1,700 "
335,1/1/2023,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,"4,900 "
336,1/1/2023,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,"16,000 "
337,1/1/2023,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,"3,100 "
338,1/5/2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"2,900 "
339,1/5/2023,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,"62,300 "
340,1/5/2023,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,800 "
341,1/10/2023,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,"9,000 "
342,1/10/2023,61010,61010 Lodging,S&M,Sales & Marketing,Expense,Marriott,Sales Team Travel,EXPENSES,"4,200 "
343,1/10/2023,61020,61020 Meals & Entertainment,S&M,Sales & Marketing,Expense,Various,Client Meetings,EXPENSES,"2,300 "
344,1/10/2023,61030,61030 Travel,S&M,Sales & Marketing,Expense,United,Flights - Sales Team,EXPENSES,"3,200 "
345,1/15/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,January SaaS Subscription,REVENUE,"19,800 "
346,1/15/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"54,000 "
347,1/15/2023,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,"5,400 "
348,1/15/2023,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,"8,000 "
349,1/15/2023,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"48,500 "
350,1/15/2023,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,"91,000 "
351,1/15/2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"70,000 "
352,1/15/2023,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,"59,000 "
353,1/15/2023,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,"3,880 "
354,1/15/2023,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,"7,280 "
355,1/15/2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,"5,600 "
356,1/15/2023,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,"4,720 "
357,1/15/2023,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,"9,700 "
358,1/15/2023,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,"18,200 "
359,1/15/2023,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,"13,900 "
360,1/15/2023,60830,60830 Health Insurance,CS,Customer Support,Bill,UnitedHealth,Health Insurance - Support,EXPENSES,"11,700 "
361,1/15/2023,60840,60840 Payroll Processing Fees,G&A,General & Administrative,Bill,ADP,Payroll Processing Fees,EXPENSES,900 
362,1/31/2023,60850,60850 Commissions Expense,S&M,Sales & Marketing,Bill,ADP,Sales Commissions,EXPENSES,"32,500 "
363,1/31/2023,70100,70100 Interest Income,G&A,General & Administrative,Deposit,Bank,Interest Income,REVENUE,"1,700 "
364,1/31/2023,80100,80100 Depreciation Expense,G&A,General & Administrative,Journal Entry,Monthly Depreciation,Depreciation Expense,EXPENSES,"9,000 "
365,1/31/2023,80200,80200 Interest Expense,G&A,General & Administrative,Bill,Bank,Loan Interest,EXPENSES,"2,700 "
366,2/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechCorp Inc,February SaaS Subscription,REVENUE,"51,200 "
367,2/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,DataFlow Ltd,February SaaS Subscription,REVENUE,"44,000 "
368,2/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,CloudServe Pro,February SaaS Subscription,REVENUE,"24,500 "
369,2/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Digital Dynamics,February SaaS Subscription,REVENUE,"17,000 "
370,2/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,InnovateX Corp,February SaaS Subscription,REVENUE,"29,500 "
371,2/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,TechMatrix Solutions,February SaaS Subscription,REVENUE,"35,000 "
372,2/1/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"75,000 "
373,2/1/2023,40200,40200 Product Revenue,G&A,General & Administrative,Invoice,GlobalTech,Product License - Enterprise,REVENUE,"90,000 "
374,2/1/2023,50100,50100 Web Domain & Hosting Fees,G&A,General & Administrative,Bill,AWS,Cloud Hosting - February,EXPENSES,"35,200 "
375,2/1/2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"7,100 "
376,2/1/2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,Google Ads,Monthly Ad Spend,EXPENSES,"18,500 "
377,2/1/2023,60100,60100 Advertising & Marketing,S&M,Sales & Marketing,Bill,LinkedIn,Premium Advertising,EXPENSES,"10,000 "
378,2/1/2023,60400,60400 Dues & Subscriptions,G&A,General & Administrative,Bill,Slack,Monthly Subscription,EXPENSES,"2,200 "
379,2/1/2023,60400,60400 Dues & Subscriptions,R&D,Research & Development,Bill,GitHub,Enterprise License,EXPENSES,"1,700 "
380,2/1/2023,60500,60500 Insurance,G&A,General & Administrative,Bill,Hartford,Business Insurance,EXPENSES,"4,900 "
381,2/1/2023,60620,60620 Rent & Lease,G&A,General & Administrative,Bill,WeWork,Office Rent,EXPENSES,"16,000 "
382,2/1/2023,60630,60630 Utilities,G&A,General & Administrative,Bill,Utility Co,Office Utilities,EXPENSES,"3,200 "
383,2/5/2023,50200,50200 Merchant Account Fees,G&A,General & Administrative,Bill,Stripe,Payment Processing Fees,EXPENSES,"3,000 "
384,2/5/2023,50210,50210 Product Costs,G&A,General & Administrative,Bill,Hardware Inc,Product Manufacturing Costs,EXPENSES,"63,000 "
385,2/5/2023,60710,60710 Accounting Fees,G&A,General & Administrative,Bill,Deloitte,Monthly Accounting Services,EXPENSES,"4,800 "
386,2/10/2023,60720,60720 Consulting Fees,G&A,General & Administrative,Bill,TechConsult,IT Consulting,EXPENSES,"9,000 "
387,2/15/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,AgileTech Solutions,February SaaS Subscription,REVENUE,"20,000 "
388,2/15/2023,40100,40100 SaaS Revenue,G&A,General & Administrative,Invoice,Various SMB,Monthly SaaS Subscriptions,REVENUE,"55,500 "
389,2/15/2023,60730,60730 Legal Fees,G&A,General & Administrative,Bill,Legal Corp,Legal Services,EXPENSES,"5,400 "
390,2/15/2023,60740,60740 Recruiting Fees,G&A,General & Administrative,Bill,TalentCo,Recruiting Services,EXPENSES,"8,000 "
391,2/15/2023,60810,60810 Salary & Wages,G&A,General & Administrative,Bill,ADP,Payroll - G&A Team,EXPENSES,"48,500 "
392,2/15/2023,60810,60810 Salary & Wages,R&D,Research & Development,Bill,ADP,Payroll - R&D Team,EXPENSES,"91,000 "
393,2/15/2023,60810,60810 Salary & Wages,S&M,Sales & Marketing,Bill,ADP,Payroll - Sales Team,EXPENSES,"70,000 "
394,2/15/2023,60810,60810 Salary & Wages,CS,Customer Support,Bill,ADP,Payroll - Support Team,EXPENSES,"59,000 "
395,2/15/2023,60820,60820 Payroll Taxes,G&A,General & Administrative,Bill,ADP,Payroll Taxes - G&A,EXPENSES,"3,880 "
396,2/15/2023,60820,60820 Payroll Taxes,R&D,Research & Development,Bill,ADP,Payroll Taxes - R&D,EXPENSES,"7,280 "
397,2/15/2023,60820,60820 Payroll Taxes,S&M,Sales & Marketing,Bill,ADP,Payroll Taxes - Sales,EXPENSES,"5,600 "
398,2/15/2023,60820,60820 Payroll Taxes,CS,Customer Support,Bill,ADP,Payroll Taxes - Support,EXPENSES,"4,720 "
399,2/15/2023,60830,60830 Health Insurance,G&A,General & Administrative,Bill,UnitedHealth,Health Insurance - G&A,EXPENSES,"9,700 "
400,2/15/2023,60830,60830 Health Insurance,R&D,Research & Development,Bill,UnitedHealth,Health Insurance - R&D,EXPENSES,"18,200 "
401,2/15/2023,60830,60830 Health Insurance,S&M,Sales & Marketing,Bill,UnitedHealth,Health Insurance - Sales,EXPENSES,"13,900 "
